Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change,ticker,name,sector,industry
-,32.11,2.15,13.90%,78.51M,-0.68%,29.48B,29.87,2.32,-4.46%,73.47M,16.89%,168.00M,4.72,0.59,74.60%,2.97%,38.84%,2.46B,11.99,-7.90%,-0.32%,3.09,34.10%,20.49,3.37,-2.44%,0.20%,69.17,40.56%,7.72,8.96,6.81%,11.00%,33.70 - 71.87,13.49%,0.40,7.59,22.10%,14.20%,-3.80%,0.71,0.58%,-,18.40%,86.30%,105.16%,2.09,1923,-,-18.80%,47.90%,68.44,3.28% 3.18%,Yes,3.96,24.90%,6.80%,1.13,68.08,Yes,0.00,Jan 19 AMC,18.40%,705.35K,69.14,2.50,6.37%,18.33%,39.66%,"797,624",1.56%,IBKR,"Interactive Brokers Group, Inc.",Financial,Capital Markets
DJIA S&P500,14.69,8.96,0.10%,891.38M,3.73%,117.84B,11.42,11.53,2.13%,889.95M,4.61%,8.02B,-,1.79,58.60%,2.76%,12.17%,75.03B,1.57,-8.60%,-0.03%,4.52,2.32%,23.79,5.53,36.79%,5.10%,137.13,-8.51%,17.42,7.56,-1.09%,38.30%,90.56 - 158.75,4.58%,6.52,15.73,-7.20%,11.40%,-17.07%,1.23,4.95%,1.00,-3.60%,48.20%,45.37%,2.30,352600,1.00,-2.60%,9.80%,65.65,1.62% 1.76%,Yes,3.08,-0.50%,10.50%,2.11,130.08,Yes,2.60,Jan 21 AMC,73.10%,5.44M,131.65,2.60,3.97%,6.45%,7.52%,"12,819,233",1.21%,IBM,International Business Machines Corporation,Technology,Information Technology Services
-,26.69,0.57,62.40%,3.45B,0.26%,53.43B,18.09,0.85,0.00%,3.43B,8.50%,1.91B,-,0.14,18.50%,0.75%,34.62%,12.05B,4.44,188.80%,0.25%,3.08,47.31%,5.98,2.56,53.16%,1.00%,18.67,5.29%,5.81,2.64,-,10.80%,6.86 - 15.42,3.10%,0.07,-,0.00%,7.60%,-0.65%,1.25,0.46%,-,9.10%,-,123.32%,0.27,97354,-,5.30%,40.20%,65.10,1.16% 1.34%,Yes,1.30,15.60%,15.80%,1.03,15.32,Yes,1.30,-,0.00%,8.35M,15.32,1.30,4.33%,9.87%,41.95%,"11,810,535",0.00%,IBN,ICICI Bank Limited,Financial,Banks - Regional
S&P 500,31.12,3.63,0.30%,561.28M,-4.18%,63.62B,23.60,4.79,-17.58%,555.45M,0.08%,2.01B,2.76,1.09,94.00%,0.91%,12.98%,5.66B,11.23,0.20%,3.44%,2.00,17.55%,34.71,3.25,6.98%,1.70%,129.09,17.10%,1.08,104.29,11.29%,11.50%,63.51 - 119.02,-2.06%,1.20,36.19,15.20%,8.60%,-5.13%,0.71,1.06%,1.00,11.00%,-,77.80%,1.87,8445,1.00,5.60%,50.80%,48.39,1.62% 1.60%,Yes,0.91,-24.70%,35.50%,0.59,114.69,Yes,0.78,Feb 04 BMO,32.20%,2.54M,112.92,1.80,-1.61%,3.68%,13.68%,"1,505,205",-1.54%,ICE,"Intercontinental Exchange, Inc.",Financial,Financial Data & Stock Exchanges
-,35.42,6.15,4.00%,52.74M,3.60%,11.49B,27.49,7.93,0.00%,51.83M,12.23%,330.10M,4.38,1.84,96.90%,1.33%,7.18%,2.76B,4.16,16.90%,0.72%,3.43,11.13%,32.45,6.72,22.91%,11.30%,205.29,24.35%,13.46,16.19,8.09%,20.60%,104.28 - 221.49,11.77%,-,24.95,20.30%,19.40%,-1.61%,0.85,-,1.40,13.30%,29.40%,109.00%,6.40,15250,1.40,-1.20%,14.00%,68.63,2.60% 3.24%,Yes,0.20,-0.90%,11.90%,0.65,220.96,Yes,0.00,Oct 21 AMC,0.00%,200.53K,217.93,2.40,7.43%,10.54%,20.00%,"130,499",-1.37%,ICLR,ICON Public Limited Company,Healthcare,Diagnostics & Research
S&P 500,86.53,5.74,0.90%,85.31M,-0.23%,42.30B,73.31,6.77,-30.23%,84.41M,2.25%,497.50M,5.06,1.39,88.40%,0.92%,18.17%,2.59B,16.32,14.00%,0.04%,1.89,35.93%,5.16,96.21,11.45%,25.80%,500.60,72.60%,2.06,240.87,17.09%,199.30%,168.65 - 516.86,-0.69%,-,94.88,22.20%,43.00%,-3.95%,0.87,-,1.20,10.10%,57.60%,194.36%,12.45,9200,1.60,19.20%,24.10%,55.73,2.27% 2.48%,Yes,2.05,35.90%,19.20%,0.62,495.04,Yes,1.94,Feb 02 BMO,0.00%,408.93K,496.44,1.90,0.24%,4.97%,31.03%,"254,634",0.28%,IDXX,"IDEXX Laboratories, Inc.",Healthcare,Diagnostics & Research
-,-,-8.68,0.20%,233.00M,0.29%,13.16B,-,-0.16,8.30%,231.64M,9.45%,-1909.00M,-,-0.47,-,0.06%,10.66%,5.81B,2.27,-441.70%,3.55%,0.91,13.65%,17.54,3.19,98.10%,-7.90%,-,-14.04%,19.36,2.89,-,-39.10%,34.00 - 69.10,10.60%,8.00,15.29,-11.50%,-11.70%,-18.90%,0.94,14.28%,-,-14.70%,-14.70%,64.82%,1.07,28000,-,-66.50%,-,62.57,1.92% 2.06%,Yes,1.99,-,-33.00%,0.90,57.38,Yes,1.99,Nov 06 BMO,-,156.42K,56.04,1.00,4.70%,7.55%,10.84%,"139,914",-2.34%,IEP,Icahn Enterprises L.P.,Industrials,Conglomerates
S&P 500,39.94,4.90,0.20%,75.71M,-3.64%,15.20B,34.52,5.66,-73.64%,75.50M,-1.52%,373.20M,3.07,1.30,99.20%,0.93%,2.40%,2.34B,6.49,6.30%,-0.05%,1.68,15.47%,31.80,6.15,10.52%,9.30%,205.08,13.02%,11.29,17.32,13.00%,16.30%,104.56 - 211.71,-1.84%,2.00,43.03,10.00%,15.10%,-7.64%,1.07,1.02%,3.00,3.00%,43.80%,87.01%,4.66,7439,3.70,-6.90%,22.00%,46.59,2.39% 2.21%,Yes,0.44,-0.50%,15.90%,0.94,198.28,Yes,0.44,Feb 04 BMO,40.40%,419.04K,195.53,2.20,-1.88%,-0.10%,12.11%,"408,906",-1.39%,IEX,IDEX Corporation,Industrials,Specialty Industrial Machinery
S&P 500,35.68,3.25,0.20%,112.18M,-4.54%,12.64B,19.02,6.10,0.00%,106.64M,1.50%,369.50M,20.05,1.18,98.70%,18.64%,2.11%,5.10B,2.48,-3.90%,-0.15%,8.20,-9.76%,54.18,2.14,9.06%,3.20%,138.67,-14.64%,4.31,26.90,1.78%,7.00%,92.14 - 143.87,6.58%,3.08,-,-4.60%,5.40%,-19.37%,1.00,2.66%,1.10,10.70%,40.70%,25.90%,3.78,13600,1.80,0.10%,13.00%,50.30,2.72% 3.02%,Yes,0.71,-34.90%,8.20%,3.29,120.08,Yes,0.64,Nov 09 AMC,80.00%,2.43M,116.00,2.20,0.79%,2.15%,-4.22%,"7,638,711",-3.40%,IFF,International Flavors & Fragrances Inc.,Basic Materials,Specialty Chemicals
-,-,-0.73,1.00%,182.00M,1.03%,12.37B,38.09,1.75,0.00%,166.59M,6.69%,-131.00M,-,-,4.10%,0.20%,18.74%,3.60B,3.44,10.30%,1.01%,2.14,35.30%,-8.86,-,660.87%,-3.20%,67.00,2.30%,3.71,17.95,2.30%,9.30%,25.39 - 67.44,2.35%,1.26,40.68,0.30%,35.10%,-1.17%,1.28,1.89%,0.80,20.00%,18.40%,162.56%,1.32,14436,0.80,-40.90%,-1.30%,59.10,1.25% 1.71%,No,-,-189.90%,-3.60%,0.38,66.02,Yes,-,-,-,159.84K,66.65,3.00,3.23%,5.64%,25.37%,"61,997",0.95%,IHG,InterContinental Hotels Group PLC,Consumer Cyclical,Lodging
S&P 500,94.16,4.30,0.30%,146.00M,11.84%,58.28B,64.33,6.29,-17.97%,145.64M,10.60%,638.00M,14.95,1.10,94.70%,3.42%,26.35%,3.24B,18.00,19.70%,1.63%,4.38,3.36%,32.19,12.58,43.37%,8.70%,318.88,22.32%,23.09,17.53,6.30%,13.80%,196.78 - 404.20,9.42%,-,62.46,23.20%,15.80%,0.17%,1.06,-,3.50,13.70%,69.00%,105.75%,12.03,7700,3.90,-12.50%,22.10%,74.14,3.88% 3.22%,Yes,0.25,-23.50%,19.70%,0.94,403.54,Yes,0.14,Oct 29 AMC,0.00%,1.14M,404.87,2.70,8.65%,17.80%,18.72%,"1,069,460",0.33%,ILMN,"Illumina, Inc.",Healthcare,Diagnostics & Research
-,-,-0.48,69.60%,734.10M,-2.82%,15.96B,52.17,0.40,0.00%,216.25M,8.09%,-348.20M,-,0.00,18.10%,6.39%,60.17%,19.30B,0.83,0.70%,-3.49%,26.17,22.04%,24.57,0.84,-30.10%,-1.10%,32.51,-20.50%,0.84,24.68,-5.14%,-1.90%,7.03 - 27.00,8.83%,0.69,-,-8.40%,7.40%,-23.30%,1.92,3.33%,1.00,-1.40%,15.20%,194.39%,0.75,6000,1.30,-31.70%,-2.50%,54.49,3.53% 3.44%,Yes,0.23,-99.30%,-1.80%,0.36,21.22,Yes,0.22,-,-,528.33K,20.71,3.30,1.68%,9.14%,29.61%,"192,190",-2.40%,IMO,Imperial Oil Limited,Energy,Oil & Gas Integrated
S&P 500,-,-1.57,0.40%,218.78M,1.25%,20.87B,26.42,3.55,-5.15%,215.56M,6.29%,-334.50M,-,0.75,94.80%,2.27%,5.14%,2.46B,8.50,304.40%,0.02%,4.35,-10.89%,10.93,8.59,663.50%,-10.50%,105.69,19.65%,7.80,12.03,25.85%,-14.40%,62.48 - 110.36,7.96%,-,-,55.60%,13.70%,-14.92%,0.79,-,3.50,33.40%,95.70%,50.29%,2.97,1456,3.60,12.50%,-13.60%,59.97,3.66% 3.27%,Yes,0.02,-111.80%,-13.60%,1.03,96.37,Yes,0.01,Nov 05 BMO,-,1.13M,93.90,2.20,4.91%,9.44%,0.71%,"1,175,144",-2.56%,INCY,Incyte Corporation,Healthcare,Biotechnology
S&P 500,41.00,2.16,0.10%,397.80M,3.78%,36.69B,25.32,3.50,-15.67%,394.25M,0.80%,870.70M,3.76,0.70,91.30%,0.84%,8.92%,4.29B,8.56,24.60%,0.31%,1.05,10.57%,21.60,4.11,11.07%,4.90%,104.00,9.90%,0.38,234.01,10.90%,9.60%,44.81 - 101.45,-1.28%,0.68,60.63,9.90%,5.60%,-12.59%,1.04,0.77%,0.70,15.10%,62.90%,97.90%,2.03,15500,0.70,-3.50%,30.40%,51.28,2.86% 2.32%,Yes,0.58,316.20%,18.70%,1.07,89.70,Yes,0.55,Jan 13 BMO,8.40%,3.15M,88.68,2.20,0.90%,-1.47%,12.20%,"3,327,178",-1.14%,INFO,IHS Markit Ltd.,Industrials,Consulting Services
-,31.65,0.58,18.20%,4.24B,-1.25%,79.62B,27.16,0.67,0.00%,3.67B,12.21%,2.44B,3.96,0.16,18.10%,0.69%,18.41%,12.95B,6.15,10.00%,0.17%,3.00,47.97%,2.29,7.95,9.12%,19.00%,20.56,64.86%,0.81,22.36,8.00%,27.10%,6.76 - 19.07,7.37%,0.32,50.76,145.00%,20.00%,-4.58%,0.92,1.76%,2.80,153.30%,34.10%,169.23%,0.38,240208,2.80,8.60%,22.80%,65.10,1.59% 1.80%,Yes,0.07,20.70%,18.90%,0.94,18.40,Yes,0.06,Jan 13 BMO,-,8.42M,18.20,2.50,3.83%,12.16%,43.57%,"7,963,456",-1.09%,INFY,Infosys Limited,Technology,Information Technology Services
-,11.49,0.82,1.00%,3.90B,-1.36%,37.25B,8.69,1.09,0.00%,-,-1.05%,3.21B,28.74,-,3.30%,-,25.13%,31.53B,1.18,1.50%,0.06%,0.35,26.64%,16.90,0.56,35.62%,0.30%,11.40,-18.02%,43.25,0.22,0.40%,4.50%,4.52 - 11.86,0.21%,-,-,19.90%,5.20%,-20.24%,1.90,-,-,-10.00%,-,109.29%,0.22,56492,-,-5.70%,38.50%,47.92,1.66% 1.74%,Yes,0.00,-41.40%,9.40%,0.63,9.49,Yes,2.07,Oct 29 BMO,0.00%,4.40M,9.46,1.50,-1.13%,-0.11%,24.33%,"2,775,709",-0.32%,ING,ING Groep N.V.,Financial,Banks - Diversified
DJIA S&P500,12.25,5.10,0.05%,4.19B,9.68%,263.38B,13.83,4.52,0.07%,4.10B,31.61%,21.95B,2.43,1.10,66.50%,1.67%,16.90%,78.10B,3.37,6.60%,-0.02%,1.64,2.31%,17.80,3.51,-7.72%,15.10%,56.56,-0.43%,4.33,14.43,5.03%,28.30%,43.61 - 69.29,25.37%,1.32,17.86,15.20%,17.80%,-9.86%,0.70,2.11%,1.20,5.20%,56.50%,43.22%,2.19,110800,1.70,-4.50%,31.50%,78.96,4.33% 3.46%,Yes,0.49,-24.90%,28.10%,2.07,58.67,Yes,0.48,Jan 21 AMC,25.30%,41.61M,62.46,3.00,21.09%,26.32%,16.64%,"87,156,464",6.46%,INTC,Intel Corporation,Technology,Semiconductors
S&P 500,51.26,7.45,0.20%,263.00M,4.60%,98.82B,39.25,9.73,-40.05%,255.04M,0.43%,1.97B,4.75,1.28,88.40%,0.79%,14.12%,7.84B,12.61,17.30%,0.38%,1.56,28.78%,19.94,19.14,15.75%,22.40%,410.72,31.40%,22.38,17.06,10.79%,41.80%,187.68 - 398.12,0.50%,2.36,50.70,36.80%,21.30%,-4.11%,1.00,0.62%,3.10,12.90%,82.90%,103.41%,9.42,10600,3.10,13.60%,30.30%,57.45,2.52% 2.31%,Yes,0.45,246.10%,25.10%,1.36,389.46,Yes,0.39,Nov 19 AMC,28.20%,1.29M,381.75,2.10,1.97%,4.52%,20.09%,"1,736,759",-1.98%,INTU,Intuit Inc.,Technology,Software - Application
-,93.16,0.32,0.20%,560.60M,5.10%,16.50B,101.66,0.30,-15.56%,559.19M,6.03%,177.10M,8.63,0.06,-,1.87%,7.66%,1.80B,9.15,7.40%,-0.08%,3.04,5.95%,14.77,2.04,3.14%,1.00%,34.06,-3.40%,1.02,29.49,10.79%,2.20%,15.64 - 32.70,1.31%,0.60,80.14,18.20%,2.40%,-7.98%,0.80,1.99%,-,21.80%,59.10%,92.39%,0.67,1140,-,3.60%,24.80%,60.00,2.70% 2.25%,Yes,1.01,-7.20%,9.80%,0.87,30.03,Yes,1.01,Oct 28 AMC,179.00%,3.45M,30.09,1.90,3.31%,3.84%,8.73%,"3,000,062",0.20%,INVH,Invitation Homes Inc.,Real Estate,REIT - Residential
S&P 500,41.23,1.25,0.24%,393.10M,1.69%,20.20B,13.74,3.76,-5.17%,392.17M,3.36%,495.00M,17.03,0.80,85.60%,1.72%,11.34%,20.84B,0.97,-21.80%,0.85%,2.52,40.95%,18.04,2.86,32.67%,1.50%,52.58,16.06%,14.14,3.65,2.42%,6.90%,26.38 - 53.39,3.90%,2.05,14.59,18.40%,8.60%,-3.24%,1.08,3.97%,1.10,-1.10%,31.00%,95.83%,1.31,51000,1.30,-8.00%,6.40%,57.38,2.43% 2.48%,Yes,1.23,-40.60%,2.40%,1.11,50.99,Yes,1.20,Feb 04 BMO,163.10%,2.68M,51.66,2.60,2.53%,4.03%,28.37%,"2,961,159",1.31%,IP,International Paper Company,Consumer Cyclical,Packaging & Containers
S&P 500,127.71,1.97,15.30%,53.10M,4.72%,13.55B,52.21,4.82,-3.05%,35.62M,16.15%,105.80M,4.36,0.96,66.30%,2.78%,30.81%,1.17B,11.57,-56.00%,-0.02%,3.81,41.53%,46.52,5.41,58.27%,3.90%,218.66,72.39%,24.20,10.41,29.30%,4.40%,98.04 - 262.55,12.53%,-,55.95,-2.50%,6.80%,-4.08%,1.47,-,8.20,11.30%,44.10%,156.87%,7.86,5960,10.10,-3.30%,11.40%,67.66,3.55% 3.21%,Yes,0.02,-37.90%,9.00%,1.07,251.12,Yes,0.01,Oct 30 BMO,0.00%,260.02K,251.84,2.30,8.46%,16.08%,44.26%,"279,120",0.29%,IPGP,IPG Photonics Corporation,Technology,Semiconductor Equipment & Materials
-,-,-1.69,0.30%,740.38M,8.03%,16.42B,-,-6.65,0.00%,226.73M,21.07%,-1234.50M,-,-2.42,62.50%,19.57%,-7.33%,4.59B,3.57,-9.10%,0.05%,4.10,-7.41%,1.11,18.79,34.60%,-18.60%,23.47,-13.66%,1.33,15.71,5.75%,-113.20%,14.51 - 28.03,19.34%,-,-,-,-35.60%,-25.58%,-,-,0.70,-,2.50%,43.76%,0.88,8889,0.80,-2.80%,-24.40%,58.90,4.31% 3.90%,Yes,3.29,68.60%,-26.90%,0.90,21.14,Yes,2.43,Nov 16 AMC,-,10.81M,20.86,2.60,12.47%,-1.41%,-0.50%,"9,851,671",-1.32%,IQ,"iQIYI, Inc.",Communication Services,Internet Content & Information
S&P 500,209.01,0.90,0.40%,191.30M,-0.88%,36.05B,23.92,7.85,-80.38%,189.70M,4.05%,176.00M,15.84,2.00,92.20%,1.10%,8.18%,10.96B,3.29,-11.10%,0.00%,2.10,14.24%,30.56,6.14,24.26%,0.80%,201.39,16.94%,8.03,23.36,13.20%,3.10%,81.79 - 192.34,4.76%,-,29.67,-18.80%,3.60%,-2.42%,1.38,-,1.10,15.20%,34.00%,129.48%,4.05,67000,1.10,0.60%,5.40%,61.27,1.91% 2.18%,Yes,2.13,81.00%,1.60%,1.13,190.54,Yes,2.11,Oct 20 BMO,0.00%,991.88K,187.69,1.80,2.59%,6.84%,19.97%,"1,154,478",-1.50%,IQV,IQVIA Holdings Inc.,Healthcare,Diagnostics & Research
S&P 500,-,-0.37,0.20%,417.60M,-0.69%,19.29B,25.62,1.79,-34.07%,371.50M,1.19%,-159.20M,-,0.45,98.50%,1.26%,22.88%,4.01B,4.82,-6.60%,0.08%,2.35,43.45%,21.01,2.18,27.03%,-1.20%,46.79,32.64%,3.12,14.69,6.69%,-2.30%,17.01 - 47.78,0.44%,-,34.53,25.20%,7.00%,-4.23%,1.53,-,1.70,-0.90%,32.80%,169.02%,1.13,6600,2.40,123.80%,0.00%,51.93,2.04% 2.55%,Yes,0.44,-64.60%,-4.00%,0.55,45.99,Yes,0.44,Nov 02 AMC,-,1.99M,45.76,2.30,-0.21%,2.05%,29.74%,"1,102,243",-0.50%,IR,Ingersoll Rand Inc.,Industrials,Specialty Industrial Machinery
S&P 500,91.03,8.77,0.30%,117.30M,-1.57%,96.14B,59.83,13.35,-14.28%,116.29M,1.21%,1.05B,13.15,3.12,91.30%,1.27%,8.96%,4.31B,22.32,21.50%,1.21%,2.75,17.22%,78.92,10.12,37.48%,10.40%,760.33,30.88%,39.19,20.38,6.92%,12.10%,360.50 - 826.81,-2.38%,-,97.27,25.50%,15.20%,-3.40%,0.99,-,6.30,16.00%,66.40%,121.55%,20.43,7326,7.00,-4.50%,24.00%,53.00,2.60% 2.58%,Yes,0.00,-21.70%,24.50%,1.22,798.57,Yes,0.00,Jan 21 AMC,0.00%,537.62K,798.67,2.50,-0.57%,3.51%,20.22%,"660,063",0.01%,ISRG,"Intuitive Surgical, Inc.",Healthcare,Medical Instruments & Supplies
S&P 500,67.71,2.38,2.60%,89.38M,-2.34%,14.63B,39.80,4.05,-7.32%,86.70M,2.17%,214.80M,5.79,0.82,94.40%,1.11%,28.64%,4.19B,3.49,101.80%,0.12%,2.43,29.43%,11.61,13.90,-1.82%,3.10%,165.13,0.27%,6.11,26.42,11.70%,22.30%,76.91 - 169.77,0.73%,-,23.92,4.80%,10.40%,-4.95%,1.60,-,0.70,16.00%,65.50%,109.80%,3.37,16724,0.70,-0.60%,9.60%,52.90,2.02% 1.96%,Yes,1.91,-58.60%,5.10%,0.86,161.58,Yes,1.89,Nov 03 BMO,0.00%,395.57K,161.36,2.10,0.00%,2.47%,22.61%,"339,542",-0.14%,IT,"Gartner, Inc.",Technology,Information Technology Services
-,15.29,0.37,52.10%,9.76B,-6.38%,54.10B,11.39,0.49,0.00%,5.30B,-10.86%,3.58B,10.19,0.11,23.30%,0.80%,29.72%,24.97B,2.17,8.70%,0.12%,1.08,5.33%,2.68,2.08,41.21%,1.00%,6.07,-28.86%,20.37,0.27,1.50%,13.90%,3.47 - 8.14,-8.37%,0.05,3.36,13.00%,6.30%,-31.43%,0.97,0.90%,-,3.20%,-,61.03%,0.20,96900,-,-24.20%,20.40%,40.22,3.31% 2.78%,Yes,4.54,-8.40%,14.30%,0.71,5.73,Yes,1.44,-,926.60%,38.91M,5.58,2.20,-7.46%,-3.91%,15.59%,"27,804,992",-2.62%,ITUB,Itau Unibanco Holding S.A.,Financial,Banks - Regional
S&P 500,30.92,6.59,0.20%,316.50M,-1.64%,65.22B,26.58,7.67,-25.23%,315.82M,-0.02%,2.11B,9.30,1.78,80.20%,1.16%,0.19%,12.57B,5.19,1.80%,0.02%,3.38,11.61%,8.52,23.92,20.11%,14.40%,213.06,14.83%,6.78,30.07,3.32%,81.40%,115.94 - 224.69,-0.02%,4.56,54.58,10.60%,24.80%,-9.28%,1.09,2.24%,1.90,-0.50%,41.10%,75.81%,4.00,45000,2.40,-4.90%,22.50%,46.50,1.70% 1.84%,Yes,2.95,-10.10%,16.80%,0.62,204.99,Yes,2.82,Feb 05 BMO,64.60%,1.09M,203.83,2.90,-0.49%,-1.33%,8.47%,"673,673",-0.57%,ITW,Illinois Tool Works Inc.,Industrials,Specialty Industrial Machinery
-,9.69,8.80,0.50%,249.19M,-3.64%,22.66B,8.28,10.30,0.00%,249.04M,8.99%,2.22B,3.59,-,1.80%,0.03%,35.24%,21.70B,1.04,-7.80%,-0.23%,1.79,47.47%,115.15,0.74,18.80%,1.80%,94.47,-0.01%,47.40,1.80,2.70%,8.00%,52.65 - 89.21,10.32%,3.52,2.69,5.30%,2.10%,-4.37%,1.01,4.13%,-,1.00%,37.30%,62.03%,1.60,31233,-,-6.80%,10.10%,61.88,1.11% 1.20%,No,1.55,-50.00%,10.50%,0.84,86.99,Yes,1.43,Oct 29 BMO,-,39.34K,85.31,-,5.29%,10.08%,29.58%,"32,918",-1.93%,IX,ORIX Corporation,Financial,Credit Services
S&P 500,41.29,2.69,0.90%,130.18M,-1.46%,14.68B,16.74,6.64,-6.18%,128.85M,4.26%,353.80M,4.03,1.28,90.20%,1.35%,13.43%,13.57B,1.08,13.50%,-0.03%,2.54,31.67%,44.67,2.49,14.59%,3.90%,122.86,17.15%,9.16,12.13,10.24%,8.50%,59.29 - 116.73,1.98%,0.76,26.96,2.10%,6.40%,-4.81%,0.88,0.68%,1.50,2.30%,19.10%,87.42%,2.46,55000,1.50,3.70%,4.00%,54.46,1.84% 2.22%,Yes,0.29,23.20%,3.60%,0.63,111.99,Yes,0.29,Nov 24 BMO,19.60%,682.65K,111.12,1.70,1.06%,3.50%,20.46%,"428,720",-0.78%,J,Jacobs Engineering Group Inc.,Industrials,Engineering & Construction
S&P 500,31.65,4.65,1.80%,105.65M,-1.29%,15.61B,24.34,6.05,-7.77%,83.91M,4.87%,496.70M,2.72,1.30,75.10%,1.95%,19.70%,9.35B,1.67,6.80%,0.67%,2.21,11.46%,23.54,6.26,31.95%,9.00%,146.10,28.77%,3.01,49.02,11.66%,21.10%,75.29 - 156.74,7.79%,1.08,58.52,8.50%,16.00%,-6.02%,1.02,0.73%,-,8.30%,17.50%,95.64%,4.31,29056,1.60,4.60%,7.60%,58.12,4.08% 2.72%,Yes,0.00,6.90%,5.30%,1.17,150.02,Yes,0.52,Jan 19 AMC,22.80%,740.79K,147.30,2.40,2.73%,6.82%,16.52%,"871,724",-1.81%,JBHT,"J.B. Hunt Transport Services, Inc.",Industrials,Integrated Freight & Logistics
S&P 500,62.10,0.84,0.30%,735.10M,0.29%,38.23B,18.27,2.86,-11.73%,701.84M,12.80%,631.00M,5.32,0.40,93.70%,1.24%,21.02%,22.32B,1.71,-33.40%,0.07%,1.73,40.78%,23.73,2.20,13.70%,1.50%,51.82,26.08%,2.66,19.59,11.67%,3.50%,22.77 - 52.92,11.96%,1.04,38.77,-11.20%,4.10%,-1.43%,1.09,1.99%,1.00,17.60%,33.20%,129.02%,1.13,97000,1.20,-5.10%,5.10%,72.31,1.90% 2.33%,Yes,0.45,-22.80%,2.80%,0.77,52.39,Yes,0.43,Jan 29 BMO,123.20%,5.06M,52.16,2.30,6.72%,11.39%,33.40%,"3,968,854",-0.44%,JCI,Johnson Controls International plc,Industrials,Engineering & Construction
-,33.53,2.84,7.07%,1.55B,5.15%,154.57B,41.78,2.28,0.00%,1.33B,16.64%,4.44B,5.52,0.22,47.50%,2.70%,15.17%,106.92B,1.45,574.30%,-0.19%,2.85,53.78%,15.02,6.33,39.12%,9.20%,102.74,132.12%,11.55,8.23,6.08%,25.40%,32.70 - 96.20,8.19%,-,26.80,22.60%,7.00%,-1.14%,0.83,-,0.90,38.10%,14.70%,190.83%,3.51,227730,1.20,29.20%,1.80%,60.93,2.81% 3.83%,Yes,0.13,1134.80%,4.10%,0.57,95.31,Yes,0.09,Nov 16 BMO,0.00%,12.61M,95.10,1.70,8.02%,10.31%,36.41%,"7,342,361",-0.22%,JD,"JD.com, Inc.",Consumer Cyclical,Internet Retail
-,87.75,0.33,0.60%,443.40M,2.38%,13.12B,-,-,0.00%,440.64M,0.69%,148.10M,5.85,-,1.10%,0.02%,15.86%,2.65B,4.95,5.30%,-0.20%,3.71,42.75%,2.66,10.98,-,3.60%,12.16,37.96%,0.87,33.59,15.00%,13.60%,8.98 - 30.00,-1.48%,0.10,28.75,-3.60%,12.40%,-2.60%,1.23,0.34%,1.50,9.50%,35.80%,225.39%,0.59,4869,1.90,11.60%,9.60%,53.62,1.41% 1.38%,No,1.07,-15.90%,5.60%,0.83,29.80,Yes,1.06,-,29.90%,24.30K,29.22,1.00,0.65%,2.09%,32.84%,"20,146",-1.95%,JHX,James Hardie Industries plc,Basic Materials,Building Materials
S&P 500,39.41,3.89,0.40%,76.51M,-3.03%,11.64B,34.48,4.44,3.02%,75.67M,-5.28%,298.50M,3.65,0.87,93.00%,2.23%,-3.86%,1.71B,6.80,9.70%,0.25%,3.19,-16.82%,20.18,7.59,16.84%,13.00%,177.64,2.31%,2.57,59.59,10.80%,19.60%,123.64 - 200.98,-5.49%,1.72,35.53,8.30%,19.10%,-23.82%,0.55,1.12%,1.40,6.20%,40.10%,23.83%,3.89,6717,1.40,3.20%,22.20%,40.00,2.39% 2.41%,Yes,0.00,2.50%,17.40%,0.96,154.76,Yes,0.00,Nov 04 AMC,43.40%,528.35K,153.10,2.80,-3.70%,-3.75%,-9.18%,"518,196",-1.07%,JKHY,"Jack Henry & Associates, Inc.",Technology,Information Technology Services
